NO,°ø±ÞÀÏ,°ø±Þ½Ã°£,Ç÷¾×¸í,Ç÷¾×ÄÚµå,Ã¤Ç÷·®mL,Ç÷¾×¹øÈ£,Ã¤Ç÷ÀÏ,Ã¤Ç÷½Ã°£,Á¦Á¦ÀÏ,Á¦Á¦½Ã°£,Ç÷¾×Çü,´Ü°¡,Ãâ°íÀÎ
1,2012-05-29,00:15,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-041221,2012-05-26,13:50,2012-05-26,17:50,AB(+),"42,360",ÃÖÇÊ½Ä
2,2012-05-29,00:15,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-041222,2012-05-26,13:55,2012-05-26,17:50,AB(+),"42,360",ÃÖÇÊ½Ä
3,2012-05-29,00:15,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-041225,2012-05-26,14:05,2012-05-26,17:50,AB(+),"42,360",ÃÖÇÊ½Ä
4,2012-05-29,00:15,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-019971,2012-05-26,11:15,2012-05-26,15:20,AB(+),"42,360",ÃÖÇÊ½Ä
5,2012-05-29,00:15,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-019976,2012-05-26,11:40,2012-05-26,15:20,AB(+),"42,360",ÃÖÇÊ½Ä
6,2012-05-29,00:15,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-041218,2012-05-26,12:08,2012-05-26,15:20,AB(+),"42,360",ÃÖÇÊ½Ä
7,2012-05-29,00:15,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-041219,2012-05-26,12:10,2012-05-26,15:20,AB(+),"42,360",ÃÖÇÊ½Ä
8,2012-05-29,00:15,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-019995,2012-05-26,14:21,2012-05-26,17:50,AB(+),"42,360",ÃÖÇÊ½Ä
9,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-021346,2012-05-24,15:17,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
10,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-021336,2012-05-24,14:02,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
11,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-021331,2012-05-24,13:35,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
12,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-021344,2012-05-24,15:03,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
13,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-021349,2012-05-24,15:30,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
14,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-021343,2012-05-24,14:56,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
15,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-021347,2012-05-24,15:23,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
16,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-040672,2012-05-15,19:05,2012-05-15,21:00,AB(+),"40,710",ÀÌÈ²
17,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-039422,2012-05-24,18:25,2012-05-24,20:30,O (+),"40,710",ÀÌÈ²
18,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-017996,2012-05-24,14:55,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
