===== FarPoint Technologies, Inc =====
===== Begin of Excel Workbook General Load =====
4/6/2017 - 10:56

Col	Row	Information
___	___	___________
		Import Excel File: F:\전주예수\20170405\export.xls

===== End of Excel Workbook General Load =====

===== Begin of Excel Sheet Load =====
		Import Sheet:  0
7	6	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	6	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	6	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	7	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	7	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	7	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	8	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	8	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	8	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	9	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	9	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	9	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	10	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	10	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	10	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	11	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	11	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	11	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	12	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	12	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	12	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	13	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	13	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	13	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	14	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	14	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	14	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	15	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	15	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	15	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	16	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	16	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	16	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	17	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	17	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	17	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	18	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	18	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	18	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	19	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	19	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	19	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	20	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	20	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	20	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	21	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	21	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	21	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	22	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	22	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	22	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	23	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	23	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	23	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	24	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	24	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	24	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	25	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	25	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	25	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	26	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	26	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	26	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	27	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	27	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	27	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	28	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	28	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	28	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	29	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	29	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	29	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	30	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	30	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	30	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	31	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	31	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	31	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	32	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	32	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	32	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
7	33	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	33	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	33	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	34	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	34	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
8	35	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
10	35	134:Import encountered a function or formula in the Excel file; a float cell has been created in Spread.
-	-	102:Excel reads the AllowDragDrop, AutoClipboard, and EditEnterAction properties from the registry. If you modify these properties in Spread, the changes are not saved at export.

===== End of Excel Sheet Load =====
===== FarPoint Technologies, Inc =====
