[DB_Validation]
Time:;17:30:40
Date:;10/10/2007
OVER limit:;3.000
Operator:;service
Wavelengths:;492nm/650nm

[Results]
Patient ID;Well Location;Reader value;Reader CV
"";"A1";"0.724";"*****"
"";"B1";"0.748";"*****"
"";"C1";"0.755";"*****"
"";"D1";"0.731";"*****"
"";"E1";"0.742";"*****"
"";"F1";"0.729";"*****"
"";"G1";"0.726";"*****"
"";"H1";"0.737";"*****"
"";"A2";"0.736";"*****"
"";"B2";"0.739";"*****"
"";"C2";"0.738";"*****"
"";"D2";"0.749";"*****"
"";"E2";"0.727";"*****"
"";"F2";"0.749";"*****"
"";"G2";"0.717";"*****"
"";"H2";"0.748";"*****"
"";"A3";"0.221";"*****"
"";"B3";"0.216";"*****"
"";"C3";"0.219";"*****"
"";"D3";"0.213";"*****"
"";"E3";"0.218";"*****"
"";"F3";"0.214";"*****"
"";"G3";"0.210";"*****"
"";"H3";"0.219";"*****"
"";"A4";"0.210";"*****"
"";"B4";"0.206";"*****"
"";"C4";"0.214";"*****"
"";"D4";"0.204";"*****"
"";"E4";"0.211";"*****"
"";"F4";"0.216";"*****"
"";"G4";"0.206";"*****"
"";"H4";"0.215";"*****"
"";"A5";"2.596";"*****"
"";"B5";"2.589";"*****"
"";"C5";"2.680";"*****"
"";"D5";"2.612";"*****"
"";"E5";"2.578";"*****"
"";"F5";"2.630";"*****"
"";"G5";"2.607";"*****"
"";"H5";"2.611";"*****"
"";"A6";"2.608";"*****"
"";"B6";"2.605";"*****"
"";"C6";"2.644";"*****"
"";"D6";"2.602";"*****"
"";"E6";"2.659";"*****"
"";"F6";"2.684";"*****"
"";"G6";"2.548";"*****"
"";"H6";"2.663";"*****"
"";"A7";"0.302";"*****"
"";"B7";"0.309";"*****"
"";"C7";"0.305";"*****"
"";"D7";"0.296";"*****"
"";"E7";"0.272";"*****"
"";"F7";"0.285";"*****"
"";"G7";"0.284";"*****"
"";"H7";"0.275";"*****"
"";"A8";"0.272";"*****"
"";"B8";"0.274";"*****"
"";"C8";"0.275";"*****"
"";"D8";"0.270";"*****"
"";"E8";"0.260";"*****"
"";"F8";"0.274";"*****"
"";"G8";"0.264";"*****"
"";"H8";"0.248";"*****"
"";"A9";"0.002";"*****"
"";"B9";"0.002";"*****"
"";"C9";"0.001";"*****"
"";"D9";"0.002";"*****"
"";"E9";"0.002";"*****"
"";"F9";"0.001";"*****"
"";"G9";"0.002";"*****"
"";"H9";"0.002";"*****"
"";"A10";"0.001";"*****"
"";"B10";"0.001";"*****"
"";"C10";"0.002";"*****"
"";"D10";"0.000";"*****"
"";"E10";"0.002";"*****"
"";"F10";"0.003";"*****"
"";"G10";"0.001";"*****"
"";"H10";"0.001";"*****"
"";"A11";"0.006";"*****"
"";"B11";"0.007";"*****"
"";"C11";"0.004";"*****"
"";"D11";"0.008";"*****"
"";"E11";"0.004";"*****"
"";"F11";"0.004";"*****"
"";"G11";"0.004";"*****"
"";"H11";"0.002";"*****"
"";"A12";"0.010";"*****"
"";"B12";"0.008";"*****"
"";"C12";"0.005";"*****"
"";"D12";"0.003";"*****"
"";"E12";"0.032";"*****"
"";"F12";"0.004";"*****"
"";"G12";"0.006";"*****"
"";"H12";"0.004";"*****"
[End Of Results]
