,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Pos Ctrl,,,,,,,,,
A,Sample,Sample 01,Sample 09,PC,,,,,,,,,
A,Cq,NaN,NaN,27.4724412192445,,,,,,,,,
A,copy number,NaN,NaN,NaN,,,,,,,,,
B,Content,Unkn,Unkn,Neg Ctrl,,,,,,,,,
B,Sample,Sample 02,Sample 10,NC,,,,,,,,,
B,Cq,NaN,NaN,NaN,,,,,,,,,
B,copy number,NaN,NaN,NaN,,,,,,,,,
C,Content,Unkn,Unkn,,,,,,,,,,
C,Sample,Sample 03,Sample 11,,,,,,,,,,
C,Cq,NaN,NaN,,,,,,,,,,
C,copy number,NaN,NaN,,,,,,,,,,
D,Content,Unkn,Unkn,,,,,,,,,,
D,Sample,Sample 04,Sample 12,,,,,,,,,,
D,Cq,NaN,NaN,,,,,,,,,,
D,copy number,NaN,NaN,,,,,,,,,,
E,Content,Unkn,Unkn,,,,,,,,,,
E,Sample,Sample 05,Sample 13,,,,,,,,,,
E,Cq,NaN,NaN,,,,,,,,,,
E,copy number,NaN,NaN,,,,,,,,,,
F,Content,Unkn,Unkn,,,,,,,,,,
F,Sample,Sample 06,Sample 14,,,,,,,,,,
F,Cq,NaN,NaN,,,,,,,,,,
F,copy number,NaN,NaN,,,,,,,,,,
G,Content,Unkn,Unkn,,,,,,,,,,
G,Sample,Sample 07,Sample 15,,,,,,,,,,
G,Cq,NaN,NaN,,,,,,,,,,
G,copy number,NaN,NaN,,,,,,,,,,
H,Content,Unkn,Unkn,,,,,,,,,,
H,Sample,Sample 08,Sample 16,,,,,,,,,,
H,Cq,NaN,NaN,,,,,,,,,,
H,copy number,NaN,NaN,,,,,,,,,,
