,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,FAM,RdRP,Unkn,Sample 01,-1.60450852260528,,Unknown,NoCall,False
,A02,FAM,RdRP,Unkn,Sample 09,5.56575644938894,,Unknown,NoCall,False
,A03,FAM,RdRP,Pos Ctrl,PC,2791.08578418437,(+) Positive,ControlPositive,Positive,False
,B01,FAM,RdRP,Unkn,Sample 02,-1.47033728337265,,Unknown,NoCall,False
,B02,FAM,RdRP,Unkn,Sample 10,5.82343374295015,,Unknown,NoCall,False
,B03,FAM,RdRP,Neg Ctrl,NC,6.38313058326894,,ControlNegative,Negative,True
,C01,FAM,RdRP,Unkn,Sample 03,-1.66284305768986,,Unknown,NoCall,False
,C02,FAM,RdRP,Unkn,Sample 11,5.65606744365377,,Unknown,NoCall,False
,D01,FAM,RdRP,Unkn,Sample 04,2.1615711965389,,Unknown,NoCall,False
,D02,FAM,RdRP,Unkn,Sample 12,0.21375011519558,,Unknown,NoCall,False
,E01,FAM,RdRP,Unkn,Sample 05,1.80477940474229,,Unknown,NoCall,False
,E02,FAM,RdRP,Unkn,Sample 13,4.07061106547444,,Unknown,NoCall,False
,F01,FAM,RdRP,Unkn,Sample 06,2.81456647290161,,Unknown,NoCall,False
,F02,FAM,RdRP,Unkn,Sample 14,4.98626884336991,,Unknown,NoCall,False
,G01,FAM,RdRP,Unkn,Sample 07,-2.52513302348634,,Unknown,NoCall,False
,G02,FAM,RdRP,Unkn,Sample 15,-0.549171248731727,,Unknown,NoCall,False
,H01,FAM,RdRP,Unkn,Sample 08,3.39856362502051,,Unknown,NoCall,False
,H02,FAM,RdRP,Unkn,Sample 16,3.58474289719361,,Unknown,NoCall,False
