,Cycle,A1,A2,A3,B1,B2,B3,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,1,4.86557656613059,2.73029627261303,-2.09780543425086,5.0584850995001,3.91752353640823,-1.19575610118682,5.28996271853021,9.02325699575385,6.22786930614029,-0.962869050934842,6.01192059204004,4.11082742150893,8.20113102189043,1.33783507541148,5.22462356369942,5.06326734310278,1.53415763297426,7.92211293531227
,2,1.13548714996432,1.11038173987481,2.49979431025395,2.45103383769901,3.93715294356252,3.54155456859326,1.28701840029044,2.80481039633924,4.99899056802997,1.74752677650167,6.90675214089515,3.56454511379479,2.38410384094232,4.02101540665353,3.34827949057626,3.64153149442154,3.96261156730861,6.96273891226519
,3,2.08212086469985,4.37600081326036,-1.93879024062744,0.173821067488461,-1.04735587975665,1.10575289867575,3.99218508772083,2.71301019573411,3.38888288917769,2.47887909870769,4.5948160747439,2.93054640057426,1.68143493115076,2.00845865120982,2.72302029369121,1.96615578847241,1.18233077125205,2.16031528080202
,4,7.71393911324503,-0.0539269023079214,-1.25884908273883,5.55156670404131,6.65091777025145,1.12218870664901,1.88601780867248,1.50785308184959,0.444077828433819,3.35796321922862,4.79826300556488,2.49224131122992,1.0695821636732,2.19884425316013,2.22171683411807,5.53623237116017,1.61138761902748,1.11581138121892
,5,1.80132397416537,-2.01285430833013,-3.55097070446573,0.915042812456704,0.803152654431869,5.75800404512529,2.37193689153264,4.31351146514271,3.2233343889975,-1.19085727864103,-1.09081969956196,0.441814678876199,-0.281254646984962,0.41532947079213,3.92838552021931,1.5532633411658,-1.75279779548646,3.38688561795652
,6,1.89136711746505,2.15480439927478,-0.241078357976676,-0.190053687052114,1.33977516512005,-1.0784884916734,1.15253614565654,1.68776384648208,3.59562957575281,-0.359329795280246,1.10324268343993,-0.518524943190187,2.23857666853473,3.13746373946015,-0.226010075667546,-5.21377025436959,0.550885268792626,0.563097409587499
,7,-1.58657153751528,1.57265831289669,-0.123329858057787,1.97109214388456,-0.289708999658615,-1.77928914635777,-0.984062885084313,-0.628656006129859,1.57539091295257,0.340541031124303,-0.371554047148948,2.27588600929812,1.00162129664295,1.35157821208895,-0.846623218384593,0.189639724273093,0.47043360864518,2.04609124992385
,8,-0.588468480725169,2.15778093373274,-2.01397824943706,-1.57406223348653,1.67846280657886,1.85716372864545,1.60314441867695,-1.71446491370261,-0.71531837245675,-0.34762955895394,1.91288638464675,-0.246289417932076,1.66541587583288,-1.94114406082645,-1.09617854680482,1.3847323199202,-0.061900876637992,0.842722633460653
,9,-1.0969405146584,-3.66423091919887,-0.583363025251401,-2.00746571242007,-2.2627555581048,0.228781534126028,1.6272162109899,-0.276773135265557,-0.525359968763496,1.1766347204225,-2.97339670313477,-3.18354881631831,-1.16687358806121,-1.51292065930011,0.41652388795319,-0.754781659168202,1.3232638008908,-1.26843079930904
,10,-1.89860461427543,-3.7257481281149,-0.973249041270719,1.33810190260465,-1.82955426586022,-2.15752735940032,-4.89240908143393,-3.79539392065362,-2.45865319271616,-3.02654445766348,-1.69181708709993,0.721253666551092,0.257401028046843,-0.877781809494081,1.97301486284823,-0.198020226131575,1.8669812799294,-2.90581763257114
,11,-3.29095915755715,1.26336935493828,0.435386953049601,-2.72786332367423,-3.33125827019285,-2.50315981013864,-3.30345146868649,-2.29490402327929,-1.77386170049886,-2.51922021221253,-2.14357462357066,-1.90237913749797,-3.38031562500737,-0.339354997204737,-0.504550731958716,-3.39058866757796,-0.456850766078787,-3.8136796501326
,12,-5.40594924538891,0.442405057031465,-0.267152995046217,0.330872927393557,1.3828728665826,-0.949938175033822,-2.532187801894,-6.38624412303534,-0.872757721108428,-0.854035046647368,-3.19045736067983,-4.77840170165246,-2.42253598735897,-4.64998784961017,-2.98999084898696,-4.36264478923295,-1.90229665956076,-4.2836777052853
