,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Pos Ctrl,,,,,,,,,
A,Sample,Sample 01,Sample 09,PC,,,,,,,,,
A,Cq,27.4490068570333,24.0658411359002,NaN,,,,,,,,,
A,copy number,NaN,NaN,NaN,,,,,,,,,
B,Content,Unkn,Unkn,Neg Ctrl,,,,,,,,,
B,Sample,Sample 02,Sample 10,NC,,,,,,,,,
B,Cq,28.2848254107972,24.4720547396303,NaN,,,,,,,,,
B,copy number,NaN,NaN,NaN,,,,,,,,,
C,Content,Unkn,Unkn,,,,,,,,,,
C,Sample,Sample 03,Sample 11,,,,,,,,,,
C,Cq,25.6087390709118,21.3346782296953,,,,,,,,,,
C,copy number,NaN,NaN,,,,,,,,,,
D,Content,Unkn,Unkn,,,,,,,,,,
D,Sample,Sample 04,Sample 12,,,,,,,,,,
D,Cq,25.7547492025141,23.35062471775,,,,,,,,,,
D,copy number,NaN,NaN,,,,,,,,,,
E,Content,Unkn,Unkn,,,,,,,,,,
E,Sample,Sample 05,Sample 13,,,,,,,,,,
E,Cq,27.4000909508291,22.4399366002444,,,,,,,,,,
E,copy number,NaN,NaN,,,,,,,,,,
F,Content,Unkn,Unkn,,,,,,,,,,
F,Sample,Sample 06,Sample 14,,,,,,,,,,
F,Cq,24.9006298059471,22.4683206919246,,,,,,,,,,
F,copy number,NaN,NaN,,,,,,,,,,
G,Content,Unkn,Unkn,,,,,,,,,,
G,Sample,Sample 07,Sample 15,,,,,,,,,,
G,Cq,25.13187389512,22.1715798181135,,,,,,,,,,
G,copy number,NaN,NaN,,,,,,,,,,
H,Content,Unkn,Unkn,,,,,,,,,,
H,Sample,Sample 08,Sample 16,,,,,,,,,,
H,Cq,24.8661333908967,22.5984152221066,,,,,,,,,,
H,copy number,NaN,NaN,,,,,,,,,,
