,Cycle,A1,A2,A3,B1,B2,B3,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,1,35.8704856935155,30.8464834741008,18.8315331237382,28.2456647909048,27.2434263024707,2.76880969327704,4.27594980346203,23.0967968040932,37.4632649802334,9.62338172632462,21.6203576553644,14.3138910982652,13.7217956905833,17.2307892317485,18.4606322033505,-0.79983741372962,18.234996392267,14.6150696859222
,2,16.7963716624072,19.3268201867104,13.9137970872553,18.5338717873101,21.1003682090804,14.7549631251113,1.56629164609149,14.621641142121,22.5602729434604,5.20592392954313,17.0985218842861,10.2924529218972,10.4991618877384,6.46379448120661,12.8822071871318,-1.14384843973039,11.831526508372,8.16110692216625
,3,8.756086221857,11.9637566070796,11.0842432612781,8.33084910868547,14.8466407622236,16.1591756274383,1.92172424058936,9.35660526329048,19.7007837073061,-1.06228542245935,10.8023407251821,8.03545235845741,10.2172906893966,8.94022522309842,1.64329747829743,-2.19705071684712,10.5808514390719,3.69069648519144
,4,5.08437233354471,9.85787314294976,8.13806805851709,8.17917025121915,8.87108537009499,12.2677791031629,-0.529000970385823,6.08013504576229,3.21336866328147,-2.65677751104613,7.68074874486138,5.48153788066156,5.05123087215725,2.14228997035025,2.34267828131487,-2.67506970635895,5.54820755905257,4.29018948033809
,5,1.56255357897408,3.97963873754088,7.12430904092344,2.38081011236864,7.25536538408051,5.68400715938697,-8.41469105545821,3.29744094362468,7.2693924962141,-0.620246813678023,3.36391470134276,-0.255860140105142,0.269603098632615,1.15969422483522,1.55556981128302,1.36011896895707,6.7972436584414,-0.588674142166383
,6,-2.35888715044075,3.55000143581765,2.12833201667399,-2.76569277173257,2.45414978107419,5.0002734531372,-2.72488932376109,-0.395969079739189,1.6491104011584,-5.02950788113048,0.368512375652244,1.75917304020822,-0.88727064406703,3.14284567604864,-2.25782104723385,-5.11086177478592,-4.89857513329116,-1.97659885157827
,7,-2.43217374723099,0.410204409510698,-0.266280171127619,-4.45425463754782,-1.05587501038644,3.83141331987645,-3.95099084028971,-0.72828088566439,-0.878685331474117,-12.4309632840132,-1.24744191559876,-4.40089468483529,-0.156422953532456,-1.64210734609696,-3.94521773699671,-7.42152274542423,-4.90584250423217,-3.57767378988046
,8,-5.06070879520848,-2.63977381872064,-3.80720694981846,-1.91441327934626,1.35936350544398,-1.30115889819081,-0.368849538018367,-1.24252157598949,-2.35859407405496,-5.13885405641759,-1.48885523608169,-3.23208690487081,-3.82386293511354,-1.64981131917648,-8.41036213773896,-6.30722086376045,2.76351748033994,2.05589643555049
,9,-7.61401620347624,-2.33835267765608,0.238660775095013,-1.15748114425878,-4.73089634801545,-0.530983097603894,-7.81426779375761,-2.73434190514399,-10.0530643542043,-8.20860080265265,-2.26480270933826,-5.05593056725866,-3.56927674527287,-3.7980148610477,-7.61842495061501,-1.19109940765884,-6.72927300751871,-1.70845012087921
,10,-4.05230881387615,-3.91440991898617,-5.60586880816027,-6.67991323828392,-5.24232220109479,0.638289993408762,-5.28975875040396,-2.36775948214563,-11.8541076264401,0.771161515417589,-7.66292729096767,-4.6300824529817,-3.76799807383759,-7.60974668808103,-3.40897792031956,-5.9555578765403,-2.92107815607869,1.84494191427348
