,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,Cy5,ICA,Unkn,Sample 01,1331.03749443223,(+) Positive,Unknown,Positive,False
,A02,Cy5,ICA,Unkn,Sample 09,1276.52073077754,(+) Positive,Unknown,Positive,False
,A03,Cy5,ICA,Pos Ctrl,PC,-0.1607876992618,,ControlPositive,NoCall,False
,B01,Cy5,ICA,Unkn,Sample 02,1371.48776287235,(+) Positive,Unknown,Positive,False
,B02,Cy5,ICA,Unkn,Sample 10,1259.9657697835,(+) Positive,Unknown,Positive,False
,B03,Cy5,ICA,Neg Ctrl,NC,1.16613911300183,,ControlNegative,Negative,True
,C01,Cy5,ICA,Unkn,Sample 03,1261.82679053202,(+) Positive,Unknown,Positive,False
,C02,Cy5,ICA,Unkn,Sample 11,1232.60972322049,(+) Positive,Unknown,Positive,False
,D01,Cy5,ICA,Unkn,Sample 04,1693.3265652588,(+) Positive,Unknown,Positive,False
,D02,Cy5,ICA,Unkn,Sample 12,1274.60997829799,(+) Positive,Unknown,Positive,False
,E01,Cy5,ICA,Unkn,Sample 05,1325.821886,(+) Positive,Unknown,Positive,False
,E02,Cy5,ICA,Unkn,Sample 13,1253.12628387515,(+) Positive,Unknown,Positive,False
,F01,Cy5,ICA,Unkn,Sample 06,1347.96713864258,(+) Positive,Unknown,Positive,False
,F02,Cy5,ICA,Unkn,Sample 14,1176.06654684342,(+) Positive,Unknown,Positive,False
,G01,Cy5,ICA,Unkn,Sample 07,1425.16691602505,(+) Positive,Unknown,Positive,False
,G02,Cy5,ICA,Unkn,Sample 15,1473.69167030655,(+) Positive,Unknown,Positive,False
,H01,Cy5,ICA,Unkn,Sample 08,1488.81316962424,(+) Positive,Unknown,Positive,False
,H02,Cy5,ICA,Unkn,Sample 16,1346.26311324909,(+) Positive,Unknown,Positive,False
