D1    dce_setenv          | Debug level is <DEBUG:DEBUG>
D2    dce_setenv          | version is <OEC ReleaseTag: librpc Entera Packages v3.2 for win32  Win NT    WinSock1.1
>
D3    dce_setenv          | Host Name = <balbali>
D4    dce_setenv          | Broker host = <150.191.201.76>
D5    dce_setenv          | Broker port = <9300>
D6    dce_setenv          | Server Port = <To be chosen by the operating system>
D7    dce_setenv          | Fri Aug 29 22:50:36 2003
D8    dce_setenv          | Finished setting environment =======================

D9    dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
D10   connect_broker_insta| Connected to broker <150.191.201.76:9300> at socket <1876>
D11   dce_push_char_Nstr  | sending <interface>="sl_d_m05"
D12   dce_submit_ext      | about to submit RPC to <OECbroker:>
D13   dce_submit_ext      |    :function<dce_get_serverlist>:socket<1876>
D14   dce_push_long       | sending <dce_rpccount>=0
D15   dce_pop_long        | got <dce_rpccount>=933506
D16   dce_pop_int         | got <dce_svr_pid>=87400
D17   dce_submit_ext      | data transferred, Socket <1876> closed
D18   dce_table_destroy   | about to clear <90417f0>
D19   dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D20   dce_cache_refresh   | The broker sent an updated serverlist: <150.191.201.76/KNUH1:4250:0|>

W22   dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D23   dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D24   dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D25   dce_push_long       | sending <dce_rpccount>=0
D26   dce_pop_long        | got <dce_rpccount>=484
D27   dce_pop_int         | got <dce_svr_pid>=212042
D28   dce_submit_ext      | data transferred, Socket <1876> closed
D29   dce_pop_long        | got <dce_result>=3
D30   dce_table_destroy   | about to clear <90419a0>
D31   dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D32   dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W34   dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D35   dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D36   dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D37   dce_push_long       | sending <dce_rpccount>=0
D38   dce_pop_long        | got <dce_rpccount>=485
D39   dce_pop_int         | got <dce_svr_pid>=212042
D40   dce_submit_ext      | data transferred, Socket <1876> closed
D41   dce_pop_long        | got <dce_result>=10
D42   dce_table_destroy   | about to clear <9042710>
D43   dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D44   dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W46   dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D47   dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D48   dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D49   dce_push_long       | sending <dce_rpccount>=0
D50   dce_pop_long        | got <dce_rpccount>=486
D51   dce_pop_int         | got <dce_svr_pid>=212042
D52   dce_submit_ext      | data transferred, Socket <1876> closed
D53   dce_pop_long        | got <dce_result>=1
D54   dce_table_destroy   | about to clear <9042f80>
D55   dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D56   dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W58   dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D59   dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D60   dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D61   dce_push_long       | sending <dce_rpccount>=0
D62   dce_pop_long        | got <dce_rpccount>=487
D63   dce_pop_int         | got <dce_svr_pid>=212042
D64   dce_submit_ext      | data transferred, Socket <1876> closed
D65   dce_pop_long        | got <dce_result>=5
D66   dce_table_destroy   | about to clear <9042ab0>
D67   dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D68   dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W70   dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D71   dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D72   dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D73   dce_push_long       | sending <dce_rpccount>=0
D74   dce_pop_long        | got <dce_rpccount>=488
D75   dce_pop_int         | got <dce_svr_pid>=212042
D76   dce_submit_ext      | data transferred, Socket <1876> closed
D77   dce_pop_long        | got <dce_result>=1
D78   dce_table_destroy   | about to clear <9042100>
D79   dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D80   dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W82   dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D83   dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D84   dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D85   dce_push_long       | sending <dce_rpccount>=0
D86   dce_pop_long        | got <dce_rpccount>=489
D87   dce_pop_int         | got <dce_svr_pid>=212042
D88   dce_submit_ext      | data transferred, Socket <1876> closed
D89   dce_pop_long        | got <dce_result>=3
D90   dce_table_destroy   | about to clear <9043400>
D91   dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D92   dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W94   dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D95   dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D96   dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D97   dce_push_long       | sending <dce_rpccount>=0
D98   dce_pop_long        | got <dce_rpccount>=490
D99   dce_pop_int         | got <dce_svr_pid>=212042
D100  dce_submit_ext      | data transferred, Socket <1876> closed
D101  dce_pop_long        | got <dce_result>=5
D102  dce_table_destroy   | about to clear <9043a70>
D103  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D104  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W106  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D107  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D108  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D109  dce_push_long       | sending <dce_rpccount>=0
D110  dce_pop_long        | got <dce_rpccount>=491
D111  dce_pop_int         | got <dce_svr_pid>=212042
D112  dce_submit_ext      | data transferred, Socket <1876> closed
D113  dce_pop_long        | got <dce_result>=5
D114  dce_table_destroy   | about to clear <90434f0>
D115  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D116  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W118  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D119  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D120  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D121  dce_push_long       | sending <dce_rpccount>=0
D122  dce_pop_long        | got <dce_rpccount>=492
D123  dce_pop_int         | got <dce_svr_pid>=212042
D124  dce_submit_ext      | data transferred, Socket <1876> closed
D125  dce_pop_long        | got <dce_result>=5
D126  dce_table_destroy   | about to clear <9043dc0>
D127  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D128  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W130  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D131  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D132  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D133  dce_push_long       | sending <dce_rpccount>=0
D134  dce_pop_long        | got <dce_rpccount>=493
D135  dce_pop_int         | got <dce_svr_pid>=212042
D136  dce_submit_ext      | data transferred, Socket <1876> closed
D137  dce_pop_long        | got <dce_result>=8
D138  dce_table_destroy   | about to clear <9043eb0>
D139  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D140  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W142  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D143  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D144  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D145  dce_push_long       | sending <dce_rpccount>=0
D146  dce_pop_long        | got <dce_rpccount>=494
D147  dce_pop_int         | got <dce_svr_pid>=212042
D148  dce_submit_ext      | data transferred, Socket <1876> closed
D149  dce_pop_long        | got <dce_result>=1
D150  dce_table_destroy   | about to clear <90431e0>
D151  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D152  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W154  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D155  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D156  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D157  dce_push_long       | sending <dce_rpccount>=0
D158  dce_pop_long        | got <dce_rpccount>=495
D159  dce_pop_int         | got <dce_svr_pid>=212042
D160  dce_submit_ext      | data transferred, Socket <1876> closed
D161  dce_pop_long        | got <dce_result>=1
D162  dce_table_destroy   | about to clear <9043300>
D163  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D164  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W166  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D167  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D168  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D169  dce_push_long       | sending <dce_rpccount>=0
D170  dce_pop_long        | got <dce_rpccount>=496
D171  dce_pop_int         | got <dce_svr_pid>=212042
D172  dce_submit_ext      | data transferred, Socket <1876> closed
D173  dce_pop_long        | got <dce_result>=3
D174  dce_table_destroy   | about to clear <9044290>
D175  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D176  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W178  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D179  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D180  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D181  dce_push_long       | sending <dce_rpccount>=0
D182  dce_pop_long        | got <dce_rpccount>=497
D183  dce_pop_int         | got <dce_svr_pid>=212042
D184  dce_submit_ext      | data transferred, Socket <1876> closed
D185  dce_pop_long        | got <dce_result>=1
D186  dce_table_destroy   | about to clear <9044960>
D187  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
