[DB_Validation]
Time:;15:28:44
Date:;11/10/2007
OVER limit:;3.000
Operator:;service
Wavelengths:;492nm/650nm

[Results]
Patient ID;Well Location;Reader value;Reader CV
"";"A1";"0.784";"*****"
"";"B1";"0.728";"*****"
"";"C1";"0.759";"*****"
"";"D1";"0.722";"*****"
"";"E1";"0.743";"*****"
"";"F1";"0.737";"*****"
"";"G1";"0.731";"*****"
"";"H1";"0.727";"*****"
"";"A2";"0.771";"*****"
"";"B2";"0.722";"*****"
"";"C2";"0.742";"*****"
"";"D2";"0.751";"*****"
"";"E2";"0.730";"*****"
"";"F2";"0.743";"*****"
"";"G2";"0.718";"*****"
"";"H2";"0.748";"*****"
"";"A3";"0.227";"*****"
"";"B3";"0.209";"*****"
"";"C3";"0.220";"*****"
"";"D3";"0.213";"*****"
"";"E3";"0.220";"*****"
"";"F3";"0.215";"*****"
"";"G3";"0.211";"*****"
"";"H3";"0.220";"*****"
"";"A4";"0.212";"*****"
"";"B4";"0.206";"*****"
"";"C4";"0.213";"*****"
"";"D4";"0.209";"*****"
"";"E4";"0.211";"*****"
"";"F4";"0.213";"*****"
"";"G4";"0.206";"*****"
"";"H4";"0.214";"*****"
"";"A5";"2.619";"*****"
"";"B5";"2.606";"*****"
"";"C5";"2.567";"*****"
"";"D5";"2.557";"*****"
"";"E5";"2.594";"*****"
"";"F5";"2.533";"*****"
"";"G5";"2.614";"*****"
"";"H5";"2.597";"*****"
"";"A6";"2.614";"*****"
"";"B6";"2.492";"*****"
"";"C6";"2.711";"*****"
"";"D6";"2.579";"*****"
"";"E6";"2.605";"*****"
"";"F6";"2.608";"*****"
"";"G6";"2.561";"*****"
"";"H6";"2.630";"*****"
"";"A7";"0.293";"*****"
"";"B7";"0.301";"*****"
"";"C7";"0.309";"*****"
"";"D7";"0.300";"*****"
"";"E7";"0.329";"*****"
"";"F7";"0.292";"*****"
"";"G7";"0.300";"*****"
"";"H7";"0.300";"*****"
"";"A8";"0.302";"*****"
"";"B8";"0.304";"*****"
"";"C8";"0.314";"*****"
"";"D8";"0.296";"*****"
"";"E8";"0.332";"*****"
"";"F8";"0.300";"*****"
"";"G8";"0.298";"*****"
"";"H8";"0.291";"*****"
"";"A9";"0.001";"*****"
"";"B9";"0.001";"*****"
"";"C9";"0.001";"*****"
"";"D9";"0.001";"*****"
"";"E9";"0.003";"*****"
"";"F9";"0.001";"*****"
"";"G9";"0.001";"*****"
"";"H9";"0.001";"*****"
"";"A10";"0.001";"*****"
"";"B10";"0.000";"*****"
"";"C10";"0.001";"*****"
"";"D10";"0.005";"*****"
"";"E10";"0.002";"*****"
"";"F10";"0.001";"*****"
"";"G10";"0.001";"*****"
"";"H10";"0.002";"*****"
"";"A11";"-0.001";"*****"
"";"B11";"0.004";"*****"
"";"C11";"0.004";"*****"
"";"D11";"0.001";"*****"
"";"E11";"0.005";"*****"
"";"F11";"0.002";"*****"
"";"G11";"0.006";"*****"
"";"H11";"0.004";"*****"
"";"A12";"0.001";"*****"
"";"B12";"0.006";"*****"
"";"C12";"0.006";"*****"
"";"D12";"0.003";"*****"
"";"E12";"0.005";"*****"
"";"F12";"0.003";"*****"
"";"G12";"0.004";"*****"
"";"H12";"0.003";"*****"
[End Of Results]
