20100121073546S:A1500,0015,  00001195,1, 0,00
20100121073546R:I1503,0 15,0101, 0, 0, 0, 0
20100121073559S:A1500,0015,  00001270,1, 0,00
20100121073615R:A1501,0 15,  00001195,0, 0
20100121073615R:A1510,0 15,  00001195, 1, 0, 0, 0
20100121073624R:A1510,0 15,  00001195, 9, 0, 0, 0
20100121073629R:A1503,0 15,  00001195, 0, 0
20100121073629S:A1503,0015,  00001195,01,00
20100121073638R:A1501,0 15,  00001270,0, 0
20100121073638R:A1510,0 15,  00001270, 1, 0, 1, 0
20100121073647R:A1510,0 15,  00001270, 9, 0, 1, 0
20100121073649R:U1500,0 15,  00001195, 0
20100121073649S:U1500,0 15,  00001195,00
20100121073658R:A1504,0 15,  00001195, 0, 0
20100121073658R:A1503,0 15,  00001270, 0, 0
20100121073659S:A1503,0015,  00001270,01,00
20100121073705R:U1500,0 15,  00001270, 0
20100121073705S:U1500,0 15,  00001270,00
20100121073738R:A1504,0 15,  00001270, 0, 0
20100121073738R:I1503,0 15,0100, 0, 0, 0, 0
20100121074044S:A1500,0015,  00001257,1, 0,00
20100121074045R:I1503,0 15,0101, 0, 0, 0, 0
20100121074106S:A1500,0015,  00000093,1, 0,00
20100121074113R:A1501,0 15,  00001257,0, 0
20100121074113R:A1510,0 15,  00001257, 1, 0, 0, 0
20100121074119S:A1500,0015,  00001256,1, 0,00
20100121074122R:A1510,0 15,  00001257, 9, 0, 0, 0
20100121074127R:A1503,0 15,  00001257, 0, 0
20100121074127S:A1503,0015,  00001257,01,00
20100121074136R:A1501,0 15,  00000093,0, 0
20100121074136R:A1510,0 15,  00000093, 1, 0, 1, 0
20100121074145R:A1510,0 15,  00000093, 9, 0, 1, 0
20100121074147R:U1500,0 15,  00001257, 0
20100121074147S:U1500,0 15,  00001257,00
20100121074149S:A1500,0015,  00000075,1, 0,00
20100121074156R:A1504,0 15,  00001257, 0, 0
20100121074156R:A1503,0 15,  00000093, 0, 0
20100121074157S:A1503,0015,  00000093,01,00
20100121074203R:U1500,0 15,  00000093, 0
20100121074203S:U1500,0 15,  00000093,00
20100121074217S:A1500,0015,  00001145,1, 0,00
20100121074236R:A1504,0 15,  00000093, 0, 0
20100121074248R:A1501,0 15,  00001256,0, 0
20100121074248R:A1510,0 15,  00001256, 1, 0, 0, 0
20100121074257R:A1510,0 15,  00001256, 9, 0, 0, 0
20100121074302R:A1503,0 15,  00001256, 0, 0
20100121074302S:A1503,0015,  00001256,01,00
20100121074310R:A1501,0 15,  00000075,0, 0
20100121074310R:A1510,0 15,  00000075, 1, 0, 1, 0
20100121074311S:A1500,0015,  00000090,1, 0,00
20100121074319R:A1510,0 15,  00000075, 9, 0, 1, 0
20100121074321R:U1500,0 15,  00001256, 0
20100121074322S:U1500,0 15,  00001256,00
20100121074331R:A1504,0 15,  00001256, 0, 0
20100121074331R:A1503,0 15,  00000075, 0, 0
20100121074332S:A1503,0015,  00000075,01,00
20100121074337R:U1500,0 15,  00000075, 0
20100121074337S:U1500,0 15,  00000075,00
20100121074344S:A1500,0015,  00000066,1, 0,00
20100121074410R:A1504,0 15,  00000075, 0, 0
20100121074423R:A1501,0 15,  00001145,0, 0
20100121074423R:A1510,0 15,  00001145, 1, 0, 0, 0
20100121074432R:A1510,0 15,  00001145, 9, 0, 0, 0
20100121074436R:A1503,0 15,  00001145, 0, 0
20100121074437S:A1503,0015,  00001145,01,00
20100121074445R:A1501,0 15,  00000090,0, 0
20100121074445R:A1510,0 15,  00000090, 1, 0, 1, 0
20100121074454R:A1510,0 15,  00000090, 9, 0, 1, 0
20100121074456R:U1500,0 15,  00001145, 0
20100121074456S:U1500,0 15,  00001145,00
20100121074505R:A1504,0 15,  00001145, 0, 0
20100121074505R:A1503,0 15,  00000090, 0, 0
20100121074506S:A1503,0015,  00000090,01,00
20100121074512R:U1500,0 15,  00000090, 0
20100121074512S:U1500,0 15,  00000090,00
20100121074545R:A1504,0 15,  00000090, 0, 0
20100121074553S:A1500,0015,  00001016,1, 0,00
20100121074557R:A1501,0 15,  00000066,0, 0
20100121074557R:A1510,0 15,  00000066, 1, 0, 0, 0
20100121074606R:A1510,0 15,  00000066, 9, 0, 0, 0
20100121074611R:A1503,0 15,  00000066, 0, 0
20100121074611S:A1503,0015,  00000066,01,00
20100121074615S:A1500,0015,  00000147,1, 0,00
20100121074617R:U1500,0 15,  00000066, 0
20100121074617S:U1500,0 15,  00000066,00
20100121074625R:A1504,0 15,  00000066, 0, 0
20100121074637R:A1501,0 15,  00001016,0, 0
20100121074637R:A1510,0 15,  00001016, 1, 0, 0, 0
20100121074646R:A1510,0 15,  00001016, 9, 0, 0, 0
20100121074651R:A1503,0 15,  00001016, 0, 0
20100121074651S:A1503,0015,  00001016,01,00
20100121074656S:A1500,0015,  00000033,1, 0,00
20100121074659R:A1501,0 15,  00000147,0, 0
20100121074659R:A1510,0 15,  00000147, 1, 0, 1, 0
20100121074708R:A1510,0 15,  00000147, 9, 0, 1, 0
20100121074710R:U1500,0 15,  00001016, 0
20100121074710S:U1500,0 15,  00001016,00
20100121074720R:A1504,0 15,  00001016, 0, 0
20100121074720R:A1503,0 15,  00000147, 0, 0
20100121074721S:A1503,0015,  00000147,01,00
20100121074725S:A1500,0015,  00000131,1, 0,00
20100121074732R:A1501,0 15,  00000033,0, 0
20100121074732R:A1510,0 15,  00000033, 1, 0, 1, 0
20100121074737R:U1500,0 15,  00000147, 0
20100121074737S:U1500,0 15,  00000147,00
20100121074741R:A1510,0 15,  00000033, 9, 0, 0, 0
20100121074753R:A1504,0 15,  00000147, 0, 0
20100121074753R:A1503,0 15,  00000033, 0, 0
20100121074805R:A1501,0 15,  00000131,0, 0
20100121074805R:A1510,0 15,  00000131, 1, 0, 1, 0
20100121074814R:A1510,0 15,  00000131, 9, 0, 1, 0
20100121074815S:A1503,0015,  00000033,01,00
20100121074821R:U1500,0 15,  00000033, 0
20100121074821S:U1500,0 15,  00000033,00
20100121074833R:A1504,0 15,  00000033, 0, 0
20100121074833R:A1503,0 15,  00000131, 0, 0
20100121074850S:A1500,0015,  00000119,1, 0,00
20100121074901S:A1500,0015,  00001278,1, 0,00
20100121074910S:A1503,0015,  00000131,01,00
20100121074916R:U1500,0 15,  00000131, 0
20100121074916S:U1500,0 15,  00000131,00
20100121074918R:A1504,0 15,  00000131, 0, 0
20100121074919S:A1500,0015,  00000136,1, 0,00
20100121074930S:A1500,0015,  00001022,1, 0,00
20100121074951S:A1500,0015,  00001115,1, 0,00
20100121075002S:A1500,0015,  00001268,1, 0,00
20100121075019S:A1500,0015,  00001132,1, 0,00
20100121075115S:A1500,0015,  00000165,1, 0,00
20100121075710S:A1500,0015,  00000087,1, 0,00
20100121075949S:A1500,0015,  00001021,1, 0,00
20100121080008S:A1500,0015,  00001298,1, 0,00
20100121080026S:A1500,0015,  00001286,1, 0,00
20100121080038S:A1500,0015,  00000156,1, 0,00
20100121080128S:A1500,0015,  00001220,1, 0,00
20100121080210R:A1501,0 15,  00000119,0, 0
20100121080210R:A1510,0 15,  00000119, 1, 0, 0, 0
20100121080219R:A1510,0 15,  00000119, 9, 0, 0, 0
20100121080224R:A1503,0 15,  00000119, 0, 0
20100121080224S:A1503,0015,  00000119,01,00
20100121080228R:A1501,0 15,  00001278,0, 0
20100121080228R:A1510,0 15,  00001278, 1, 0, 1, 0
20100121080237R:A1510,0 15,  00001278, 9, 0, 1, 0
20100121080239R:U1500,0 15,  00000119, 0
20100121080239S:U1500,0 15,  00000119,00
20100121080248R:A1504,0 15,  00000119, 0, 0
20100121080249R:A1503,0 15,  00001278, 0, 0
20100121080249S:A1503,0015,  00001278,01,00
20100121080255R:U1500,0 15,  00001278, 0
20100121080255S:U1500,0 15,  00001278,00
20100121080328R:A1504,0 15,  00001278, 0, 0
20100121080340R:A1501,0 15,  00001022,0, 0
20100121080340R:A1510,0 15,  00001022, 1, 0, 0, 0
20100121080349R:A1510,0 15,  00001022, 9, 0, 0, 0
20100121080354R:A1503,0 15,  00001022, 0, 0
20100121080354S:A1503,0015,  00001022,01,00
20100121080402R:A1501,0 15,  00001268,0, 0
20100121080402R:A1510,0 15,  00001268, 1, 0, 1, 0
20100121080411R:A1510,0 15,  00001268, 9, 0, 1, 0
20100121080413R:U1500,0 15,  00001022, 0
20100121080413S:U1500,0 15,  00001022,00
20100121080422R:A1504,0 15,  00001022, 0, 0
20100121080422R:A1503,0 15,  00001268, 0, 0
20100121080423S:A1503,0015,  00001268,01,00
20100121080429R:U1500,0 15,  00001268, 0
20100121080429S:U1500,0 15,  00001268,00
20100121080502R:A1504,0 15,  00001268, 0, 0
20100121080514R:A1501,0 15,  00001132,0, 0
20100121080514R:A1510,0 15,  00001132, 1, 0, 0, 0
20100121080523R:A1510,0 15,  00001132, 9, 0, 0, 0
20100121080527R:A1503,0 15,  00001132, 0, 0
20100121080528S:A1503,0015,  00001132,01,00
20100121080528S:A1500,0015,  00001131,1, 0,00
20100121080535R:A1501,0 15,  00000165,0, 0
20100121080536R:A1510,0 15,  00000165, 1, 0, 1, 0
20100121080545R:A1510,0 15,  00000165, 9, 0, 1, 0
20100121080547R:U1500,0 15,  00001132, 0
20100121080547S:U1500,0 15,  00001132,00
20100121080550S:A1500,0015,  00001033,1, 0,00
20100121080556R:A1504,0 15,  00001132, 0, 0
20100121080556R:A1503,0 15,  00000165, 0, 0
20100121080557S:A1503,0015,  00000165,01,00
20100121080602R:U1500,0 15,  00000165, 0
20100121080602S:U1500,0 15,  00000165,00
20100121080636R:A1504,0 15,  00000165, 0, 0
20100121080646R:A1501,0 15,  00000136,0, 0
20100121080646R:A1510,0 15,  00000136, 1, 0, 0, 0
20100121080656R:A1510,0 15,  00000136, 9, 0, 0, 0
20100121080700R:A1503,0 15,  00000136, 0, 0
20100121080700S:A1503,0015,  00000136,01,00
20100121080704R:A1501,0 15,  00001115,0, 0
20100121080704R:A1510,0 15,  00001115, 1, 0, 1, 0
20100121080713R:A1510,0 15,  00001115, 9, 0, 1, 0
20100121080714S:A1500,0015,  00001003,1, 0,00
20100121080715R:U1500,0 15,  00000136, 0
20100121080715S:U1500,0 15,  00000136,00
20100121080724R:A1504,0 15,  00000136, 0, 0
20100121080724R:A1503,0 15,  00001115, 0, 0
20100121080725S:A1503,0015,  00001115,01,00
20100121080730R:U1500,0 15,  00001115, 0
20100121080730S:U1500,0 15,  00001115,00
20100121080738S:A1500,0015,  00001193,1, 0,00
20100121080804R:A1504,0 15,  00001115, 0, 0
20100121080920R:A1501,0 15,  00000087,0, 0
20100121080920R:A1510,0 15,  00000087, 1, 0, 0, 0
20100121080929R:A1510,0 15,  00000087, 9, 0, 0, 0
20100121080933R:A1503,0 15,  00000087, 0, 0
20100121080933S:A1503,0015,  00000087,01,00
20100121080939R:U1500,0 15,  00000087, 0
20100121080939S:U1500,0 15,  00000087,00
20100121080942R:A1504,0 15,  00000087, 0, 0
20100121080945S:A1500,0015,  00000135,1, 0,00
20100121081010S:A1500,0015,  00001106,1, 0,00
20100121081032S:A1500,0015,  00000103,1, 0,00
