20100123083642S:A0500,0008,  00001111,1,00,00
20100123083642R:I 503,0  8,0101, 0, 0, 0, 0
20100123083646R:A 501,0  8,  00001111,0, 0
20100123083646R:A 510,0  8,  00001111, 1, 0, 0, 0
20100123083655R:A 510,0  8,  00001111, 9, 0, 0, 0
20100123083700R:A 503,0  8,  00001111, 0, 0
20100123084947R:A 510,0  8,  00000005,10, 0, 1, 0
20100123085027R:A 510,0  8,  00000137,10, 0, 1, 0
20100123085136R:A 510,0  8,  00001116,10, 0, 1, 0
20100123085223R:A 510,0  8,  00000083,10, 0, 1, 0
20100123085315R:A 510,0  8,  00000183,10, 0, 1, 0
20100123085416R:A 510,0  8,  00001122,10, 0, 1, 0
20100123085509R:A 510,0  8,  00000172,10, 0, 1, 0
20100123085542R:A 510,0  8,  00001221,10, 0, 1, 0
20100123085658R:A 510,0  8,  00000196,10, 0, 1, 0
20100123085730R:A 510,0  8,  00001288,10, 0, 1, 0
20100123085818R:A 510,0  8,  00001219,10, 0, 1, 0
20100123085911R:A 510,0  8,  00000146,10, 0, 1, 0
20100123090109R:A 510,0  8,  00000007,10, 0, 1, 0
20100123090243R:A 510,0  8,  00000154,10, 0, 1, 0
20100123090547S:A0503,0008,  00001111,01,00
20100123090550R:A 504,0  8,  00001111, 0, 0
20100123090550R:I 503,0  8,0100, 0, 0, 0, 0
20100123090605R:I 503,0  8,0101, 0, 0, 0, 0
20100123090607R:A 510,0  8,  00001034,10, 0, 0, 0
20100123090613R:I 503,0  8,0100, 0, 0, 0, 0
20100123090713R:I 503,0  8,0101, 0, 0, 0, 0
20100123090715R:A 510,0  8,  00001045,10, 0, 0, 0
20100123090721R:I 503,0  8,0100, 0, 0, 0, 0
20100123090906R:I 503,0  8,0101, 0, 0, 0, 0
20100123090908R:A 510,0  8,  00000124,10, 0, 0, 0
20100123090914R:I 503,0  8,0100, 0, 0, 0, 0
20100123091800R:I 503,0  8,0101, 0, 0, 0, 0
20100123091802R:A 510,0  8,  00000106,10, 0, 0, 0
20100123091808R:I 503,0  8,0100, 0, 0, 0, 0
20100123092105R:I 503,0  8,0101, 0, 0, 0, 0
20100123092107R:A 510,0  8,  00000032,10, 0, 0, 0
20100123092113R:I 503,0  8,0100, 0, 0, 0, 0
20100123092527R:I 503,0  8,0101, 0, 0, 0, 0
20100123092529R:A 510,0  8,  00000121,10, 0, 0, 0
20100123092535R:I 503,0  8,0100, 0, 0, 0, 0
20100123092720R:I 503,0  8,0101, 0, 0, 0, 0
20100123092722R:A 510,0  8,  00000179,10, 0, 0, 0
20100123092728R:I 503,0  8,0100, 0, 0, 0, 0
20100123092941R:I 503,0  8,0101, 0, 0, 0, 0
20100123092942R:A 510,0  8,  00000151,10, 0, 0, 0
