D1    dce_setenv          | Debug level is <DEBUG:DEBUG>
D2    dce_setenv          | version is <OEC ReleaseTag: librpc Entera Packages v3.2 for win32  Win NT    WinSock1.1
>
D3    dce_setenv          | Host Name = <CFX96-PC>
D4    dce_setenv          | Broker host = <emis1.duih.org>
D5    dce_setenv          | Broker port = <13000>
D6    dce_setenv          | Server Port = <To be chosen by the operating system>
D7    dce_setenv          | Mon Sep 07 15:29:08 2020
D8    dce_setenv          | Finished setting environment =======================

D9    dce_findserver      | current time is <Mon Sep 07 15:29:16 2020>
D10   connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <1760>
D11   dce_push_char_Nstr  | sending <interface>="sl_d_60"
D12   dce_submit_ext      | about to submit RPC to <OECbroker:>
D13   dce_submit_ext      |    :function<dce_get_serverlist>:socket<1760>
D14   dce_push_long       | sending <dce_rpccount>=0
D15   dce_pop_long        | got <dce_rpccount>=55151483
D16   dce_pop_int         | got <dce_svr_pid>=25945
D17   dce_submit_ext      | data transferred, Socket <1760> closed
D18   dce_table_destroy   | about to clear <99618a0>
D19   dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D20   dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W22   dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D23   dce_submit_ext      | about to submit RPC to <sl_d_60:>
D24   dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<1760>
D25   dce_push_long       | sending <dce_rpccount>=0
D26   dce_pop_long        | got <dce_rpccount>=190072
D27   dce_pop_int         | got <dce_svr_pid>=18487
D28   dce_submit_ext      | data transferred, Socket <1760> closed
D29   dce_pop_long        | got <dce_result>=12
D30   dce_table_destroy   | about to clear <9961b20>
D31   dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D32   dce_findserver      | current time is <Mon Sep 07 15:29:16 2020>
D33   connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D34   dce_push_char_Nstr  | sending <interface>="sl_d_60"
D35   dce_submit_ext      | about to submit RPC to <OECbroker:>
D36   dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D37   dce_push_long       | sending <dce_rpccount>=0
D38   dce_pop_long        | got <dce_rpccount>=55151484
D39   dce_pop_int         | got <dce_svr_pid>=25945
D40   dce_submit_ext      | data transferred, Socket <968> closed
D41   dce_table_destroy   | about to clear <9962dd0>
D42   dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D43   dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W45   dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D46   dce_submit_ext      | about to submit RPC to <sl_d_60:>
D47   dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<968>
D48   dce_push_long       | sending <dce_rpccount>=0
D49   dce_pop_long        | got <dce_rpccount>=190073
D50   dce_pop_int         | got <dce_svr_pid>=18487
D51   dce_submit_ext      | data transferred, Socket <968> closed
D52   dce_pop_long        | got <dce_result>=12
D53   dce_table_destroy   | about to clear <99625c0>
D54   dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D55   dce_findserver      | current time is <Mon Sep 07 15:29:16 2020>
D56   connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D57   dce_push_char_Nstr  | sending <interface>="sl_d_60"
D58   dce_submit_ext      | about to submit RPC to <OECbroker:>
D59   dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D60   dce_push_long       | sending <dce_rpccount>=0
D61   dce_pop_long        | got <dce_rpccount>=55151485
D62   dce_pop_int         | got <dce_svr_pid>=25945
D63   dce_submit_ext      | data transferred, Socket <968> closed
D64   dce_table_destroy   | about to clear <99636a0>
D65   dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D66   dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W68   dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D69   dce_submit_ext      | about to submit RPC to <sl_d_60:>
D70   dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<968>
D71   dce_push_long       | sending <dce_rpccount>=0
D72   dce_pop_long        | got <dce_rpccount>=190074
D73   dce_pop_int         | got <dce_svr_pid>=18487
D74   dce_submit_ext      | data transferred, Socket <968> closed
D75   dce_pop_long        | got <dce_result>=12
D76   dce_table_destroy   | about to clear <9963c50>
D77   dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D78   dce_findserver      | current time is <Mon Sep 07 15:29:16 2020>
D79   connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D80   dce_push_char_Nstr  | sending <interface>="sl_d_60"
D81   dce_submit_ext      | about to submit RPC to <OECbroker:>
D82   dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D83   dce_push_long       | sending <dce_rpccount>=0
D84   dce_pop_long        | got <dce_rpccount>=55151486
D85   dce_pop_int         | got <dce_svr_pid>=25945
D86   dce_submit_ext      | data transferred, Socket <968> closed
D87   dce_table_destroy   | about to clear <9964430>
D88   dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D89   dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W91   dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D92   dce_submit_ext      | about to submit RPC to <sl_d_60:>
D93   dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<968>
D94   dce_push_long       | sending <dce_rpccount>=0
D95   dce_pop_long        | got <dce_rpccount>=190075
D96   dce_pop_int         | got <dce_svr_pid>=18487
D97   dce_submit_ext      | data transferred, Socket <968> closed
D98   dce_pop_long        | got <dce_result>=12
D99   dce_table_destroy   | about to clear <9964980>
D100  dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D101  dce_findserver      | current time is <Mon Sep 07 15:29:16 2020>
D102  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D103  dce_push_char_Nstr  | sending <interface>="sl_d_60"
D104  dce_submit_ext      | about to submit RPC to <OECbroker:>
D105  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D106  dce_push_long       | sending <dce_rpccount>=0
D107  dce_pop_long        | got <dce_rpccount>=55151487
D108  dce_pop_int         | got <dce_svr_pid>=25945
D109  dce_submit_ext      | data transferred, Socket <968> closed
D110  dce_table_destroy   | about to clear <9965300>
D111  dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D112  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W114  dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D115  dce_submit_ext      | about to submit RPC to <sl_d_60:>
D116  dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<968>
D117  dce_push_long       | sending <dce_rpccount>=0
D118  dce_pop_long        | got <dce_rpccount>=190076
D119  dce_pop_int         | got <dce_svr_pid>=18487
D120  dce_submit_ext      | data transferred, Socket <968> closed
D121  dce_pop_long        | got <dce_result>=12
D122  dce_table_destroy   | about to clear <99658b0>
D123  dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D124  dce_findserver      | current time is <Mon Sep 07 15:29:16 2020>
D125  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D126  dce_push_char_Nstr  | sending <interface>="sl_d_60"
D127  dce_submit_ext      | about to submit RPC to <OECbroker:>
D128  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D129  dce_push_long       | sending <dce_rpccount>=0
D130  dce_pop_long        | got <dce_rpccount>=55151488
D131  dce_pop_int         | got <dce_svr_pid>=25945
D132  dce_submit_ext      | data transferred, Socket <968> closed
D133  dce_table_destroy   | about to clear <99662b0>
D134  dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D135  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W137  dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D138  dce_submit_ext      | about to submit RPC to <sl_d_60:>
D139  dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<968>
D140  dce_push_long       | sending <dce_rpccount>=0
D141  dce_pop_long        | got <dce_rpccount>=190077
D142  dce_pop_int         | got <dce_svr_pid>=18487
D143  dce_submit_ext      | data transferred, Socket <968> closed
D144  dce_pop_long        | got <dce_result>=12
D145  dce_table_destroy   | about to clear <9966800>
D146  dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D147  dce_findserver      | current time is <Mon Sep 07 15:29:16 2020>
D148  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D149  dce_push_char_Nstr  | sending <interface>="sl_d_60"
D150  dce_submit_ext      | about to submit RPC to <OECbroker:>
D151  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D152  dce_push_long       | sending <dce_rpccount>=0
D153  dce_pop_long        | got <dce_rpccount>=55151489
D154  dce_pop_int         | got <dce_svr_pid>=25945
D155  dce_submit_ext      | data transferred, Socket <968> closed
D156  dce_table_destroy   | about to clear <99666b0>
D157  dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D158  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W160  dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D161  dce_submit_ext      | about to submit RPC to <sl_d_60:>
D162  dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<968>
D163  dce_push_long       | sending <dce_rpccount>=0
D164  dce_pop_long        | got <dce_rpccount>=190078
D165  dce_pop_int         | got <dce_svr_pid>=18487
D166  dce_submit_ext      | data transferred, Socket <968> closed
D167  dce_pop_long        | got <dce_result>=12
D168  dce_table_destroy   | about to clear <9966d30>
D169  dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D170  dce_findserver      | current time is <Mon Sep 07 15:29:16 2020>
D171  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D172  dce_push_char_Nstr  | sending <interface>="sl_d_60"
D173  dce_submit_ext      | about to submit RPC to <OECbroker:>
D174  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D175  dce_push_long       | sending <dce_rpccount>=0
D176  dce_pop_long        | got <dce_rpccount>=55151490
D177  dce_pop_int         | got <dce_svr_pid>=25945
D178  dce_submit_ext      | data transferred, Socket <968> closed
D179  dce_table_destroy   | about to clear <9967700>
