Row,Column,*Target Name,*Sample Name
A,1,,1
B,1,,2
C,1,,3
D,1,,4
E,1,,5
F,1,,6
G,1,,7
H,1,,8
A,2,,9
B,2,,10
C,2,,11
D,2,,12
E,2,,13
F,2,,14
G,2,,15
H,2,,16
A,3,,17
B,3,,18
C,3,,19
D,3,,20
E,3,,21
F,3,,22
G,3,,23
H,3,,24
A,4,,25
B,4,,26
C,4,,27
D,4,,28
E,4,,29
F,4,,30
G,4,,NC
H,4,,PC
A,5,,1
B,5,,2
C,5,,3
D,5,,4
E,5,,5
F,5,,6
G,5,,7
H,5,,8
A,6,,9
B,6,,10
C,6,,11
D,6,,12
E,6,,13
F,6,,14
G,6,,15
H,6,,16
A,7,,17
B,7,,18
C,7,,19
D,7,,20
E,7,,21
F,7,,22
G,7,,23
H,7,,24
A,8,,25
B,8,,26
C,8,,27
D,8,,28
E,8,,29
F,8,,30
G,8,,NC
H,8,,PC
A,9,,1
B,9,,2
C,9,,3
D,9,,4
E,9,,5
F,9,,6
G,9,,7
H,9,,8
A,10,,9
B,10,,10
C,10,,11
D,10,,12
E,10,,13
F,10,,14
G,10,,15
H,10,,16
A,11,,17
B,11,,18
C,11,,19
D,11,,20
E,11,,21
F,11,,22
G,11,,23
H,11,,24
A,12,,25
B,12,,26
C,12,,27
D,12,,28
E,12,,29
F,12,,30
G,12,,NC
H,12,,PC
